,Year,Passed,Failed
0,1961.0,844206734.8993287,23864655.503355704
1,1962.0,5791321220.0,25605180.5
2,1964.0,422700938.05825245,66268354.36893204
3,1965.0,233841387.5,201407788.4615385
4,1966.0,,1308298867.9245286
5,1967.0,645450638.2978723,
6,1968.0,266887214.07624632,171633896.48093843
7,1969.0,,121296026.29213482
8,1970.0,372609920.6349207,351199181.34920645
9,1971.0,231337872.2864321,326827151.00502515
10,1972.0,369316894.160584,
11,1973.0,,51007916.33802817
12,1976.0,935339568.3453238,
13,1977.0,56560863.07692307,333364615.38461536
14,1980.0,278517994.8586118,
15,1984.0,311527433.7585868,
16,1986.0,91340687.95620438,
17,1987.0,192913785.97122303,
18,1988.0,373630566.119274,
19,1989.0,106822575.55739059,
20,1990.0,593423032.1821035,125521982.73155417
21,1992.0,732907296.8863144,360914871.39753807
22,1993.0,,252312713.28892004
23,1994.0,202651255.19835848,563245397.9138168
24,1995.0,133839904.49101795,63578820.35928144
25,1996.0,140341321.24352333,299348038.21243525
26,1997.0,256047492.1433061,480770025.1414205
27,1998.0,,120545552.59900992
28,1999.0,394336049.9087036,
29,2000.0,389356243.8981043,
30,2001.0,365063763.563678,
31,2002.0,1284705533.596838,2447981923.6871824
32,2003.0,351803329.66428185,
33,2004.0,,304204211.663067
34,2005.0,,515867320.39853185
35,2006.0,491725416.0363087,
36,2008.0,1118338155.2018194,
37,2010.0,412000000.0,41330000.0
